team,player,position,squad_number,appeared,matches_played,matches_started,goals,own_goals,assists
Poland,Wojciech Szczęsny,goal keeper,1,yes,4,4,0,0,0
Poland,Matty Cash,defender,2,yes,4,4,0,0,0
Poland,Artur Jędrzejczyk,defender,3,yes,1,0,0,0,0
Poland,Mateusz Wieteska,defender,4,no,0,0,0,0,0
Poland,Jan Bednarek,defender,5,yes,1,0,0,0,0
Poland,Krystian Bielik,midfielder,6,yes,4,2,0,0,0
Poland,Arkadiusz Milik,forward,7,yes,3,1,0,0,0
Poland,Damian Szymański,midfielder,8,yes,1,0,0,0,0
Poland,Grzegorz Krychowiak,midfielder,10,yes,4,4,0,0,0
Poland,Kamil Grosicki,midfielder,11,yes,1,0,0,0,0
Poland,Łukasz Skorupski,goal keeper,12,no,0,0,0,0,0
Poland,Jakub Kamiński,midfielder,13,yes,4,2,0,0,0
Poland,Jakub Kiwior,defender,14,yes,4,4,0,0,0
Poland,Kamil Glik,defender,15,yes,4,4,0,0,0
Poland,Karol Świderski,forward,16,yes,1,1,0,0,0
Poland,Szymon Żurkowski,midfielder,17,no,0,0,0,0,0
Poland,Bartosz Bereszyński,defender,18,yes,4,4,0,0,0
Poland,Sebastian Szymański,midfielder,19,yes,2,2,0,0,0
Poland,Nicola Zalewski,midfielder,21,yes,2,1,0,0,0
Poland,Kamil Grabara,goal keeper,22,no,0,0,0,0,0
Poland,Krzysztof Piątek,forward,23,yes,2,0,0,0,0
Poland,Przemysław Frankowski,midfielder,24,yes,4,3,0,0,0
Poland,Robert Gumny,defender,25,no,0,0,0,0,0
Poland,Michał Skóraś,midfielder,26,yes,1,0,0,0,0
Portugal,Gonçalo Ramos,forward,26,yes,4,2,3,0,0
Portugal,Bruno Fernandes,midfielder,8,yes,4,4,2,0,3
Portugal,Rafael Leão,forward,15,yes,5,0,2,0,0
Portugal,Pepe,defender,3,yes,4,4,1,0,0
Portugal,Raphaël Guerreiro,defender,5,yes,4,3,1,0,0
Portugal,Cristiano Ronaldo,forward,7,yes,5,3,1,0,0
Portugal,João Félix,forward,11,yes,4,4,1,0,0
Portugal,Ricardo Horta,forward,21,yes,3,1,1,0,0
Portugal,Rui Patrício,goal keeper,1,no,0,0,0,0,0
Portugal,Diogo Dalot,defender,2,yes,3,3,0,0,0
Portugal,Rúben Dias,defender,4,yes,4,4,0,0,0
Portugal,João Palhinha,midfielder,6,yes,3,0,0,0,0
Portugal,André Silva,forward,9,yes,1,0,0,0,0
Portugal,Bernardo Silva,forward,10,yes,5,4,0,0,0
Portugal,José Sá,goal keeper,12,no,0,0,0,0,0
Portugal,Danilo Pereira,defender,13,yes,1,1,0,0,0
Portugal,William Carvalho,midfielder,14,yes,4,2,0,0,0
Portugal,Vitinha,midfielder,16,yes,3,1,0,0,0
Portugal,João Mário,midfielder,17,yes,2,1,0,0,0
Portugal,Rúben Neves,midfielder,18,yes,5,4,0,0,0
Portugal,Nuno Mendes,defender,19,yes,1,1,0,0,0
Portugal,João Cancelo,defender,20,yes,4,3,0,0,0
Portugal,Diogo Costa,goal keeper,22,yes,5,5,0,0,0
Portugal,Matheus Nunes,midfielder,23,yes,2,1,0,0,0
Portugal,António Silva,defender,24,yes,1,1,0,0,0
Portugal,Otávio,midfielder,25,yes,3,3,0,0,0
Qatar,Mohammed Muntari,forward,9,yes,3,0,1,0,0
Qatar,Saad Al-Sheeb,goal keeper,1,yes,1,1,0,0,0
Qatar,Ró-Ró,defender,2,yes,3,3,0,0,0
Qatar,Abdelkarim Hassan,midfielder,3,yes,3,3,0,0,0
Qatar,Mohammed Waad,defender,4,yes,2,0,0,0,0
Qatar,Tarek Salman,defender,5,yes,1,0,0,0,0
Qatar,Abdulaziz Hatem,midfielder,6,yes,3,2,0,0,0
Qatar,Ahmed Alaaeldin,forward,7,yes,1,0,0,0,0
Qatar,Ali Assadalla,midfielder,8,yes,1,0,0,0,0
Qatar,Hassan Al-Haydos,midfielder,10,yes,3,3,0,0,0
Qatar,Akram Afif,forward,11,yes,3,3,0,0,0
Qatar,Karim Boudiaf,midfielder,12,yes,3,2,0,0,0
Qatar,Musab Kheder,defender,13,yes,1,0,0,0,0
Qatar,Homam Ahmed,defender,14,yes,3,3,0,0,0
Qatar,Bassam Al-Rawi,defender,15,yes,1,1,0,0,0
Qatar,Boualem Khoukhi,defender,16,yes,3,3,0,0,0
Qatar,Ismaeel Mohammad,defender,17,yes,2,2,0,0,0
Qatar,Khalid Muneer,forward,18,no,0,0,0,0,0
Qatar,Almoez Ali,forward,19,yes,3,3,0,0,0
Qatar,Salem Al-Hajri,midfielder,20,no,0,0,0,0,0
Qatar,Yousef Hassan,goal keeper,21,no,0,0,0,0,0
Qatar,Meshaal Barsham,goal keeper,22,yes,2,2,0,0,0
Qatar,Assim Madibo,midfielder,23,yes,2,2,0,0,0
Qatar,Naif Al-Hadhrami,midfielder,24,no,0,0,0,0,0
Qatar,Jassem Gaber,midfielder,25,no,0,0,0,0,0
Qatar,Mostafa Meshaal,midfielder,26,no,0,0,0,0,0
Saudi Arabia,Salem Al-Dawsari,forward,10,yes,3,3,2,0,0
Saudi Arabia,Saleh Al-Shehri,forward,11,yes,3,3,1,0,0
Saudi Arabia,Mohammed Al-Rubaie,goal keeper,1,no,0,0,0,0,0
Saudi Arabia,Sultan Al-Ghannam,defender,2,yes,3,1,0,0,0
Saudi Arabia,Abdullah Madu,defender,3,yes,1,0,0,0,0
Saudi Arabia,Abdulelah Al-Amri,defender,4,yes,3,2,0,0,0
Saudi Arabia,Ali Al-Bulaihi,defender,5,yes,3,3,0,0,0
Saudi Arabia,Mohammed Al-Breik,defender,6,yes,2,1,0,0,0
Saudi Arabia,Salman Al-Faraj,midfielder,7,yes,1,1,0,0,0
Saudi Arabia,Abdulellah Al-Malki,midfielder,8,yes,2,2,0,0,0
Saudi Arabia,Firas Al-Buraikan,forward,9,yes,3,3,0,0,0
Saudi Arabia,Saud Abdulhamid,defender,12,yes,3,3,0,0,0
Saudi Arabia,Yasser Al-Shahrani,defender,13,yes,1,1,0,0,0
Saudi Arabia,Abdullah Otayf,midfielder,14,no,0,0,0,0,0
Saudi Arabia,Ali Al-Hassan,midfielder,15,yes,1,1,0,0,0
Saudi Arabia,Sami Al-Najei,midfielder,16,yes,1,1,0,0,0
Saudi Arabia,Hassan Al-Tambakti,defender,17,yes,2,2,0,0,0
Saudi Arabia,Nawaf Al-Abed,midfielder,18,yes,2,0,0,0,0
Saudi Arabia,Hattan Bahebri,forward,19,yes,2,0,0,0,0
Saudi Arabia,Abdulrahman Al-Aboud,forward,20,yes,2,0,0,0,0
Saudi Arabia,Mohammed Al-Owais,goal keeper,21,yes,3,3,0,0,0
Saudi Arabia,Nawaf Al-Aqidi,goal keeper,22,no,0,0,0,0,0
Saudi Arabia,Mohamed Kanno,midfielder,23,yes,3,3,0,0,0
Saudi Arabia,Nasser Al-Dawsari,midfielder,24,yes,1,0,0,0,0
Saudi Arabia,Haitham Asiri,forward,25,yes,1,0,0,0,0
Saudi Arabia,Riyadh Sharahili,midfielder,26,yes,1,0,0,0,0
Senegal,Kalidou Koulibaly,defender,3,yes,4,4,1,0,0
Senegal,Boulaye Dia,forward,9,yes,4,4,1,0,0
Senegal,Ismaïla Sarr,forward,18,yes,4,4,1,0,0
Senegal,Famara Diédhiou,forward,19,yes,2,1,1,0,0
Senegal,Bamba Dieng,forward,20,yes,4,0,1,0,0
Senegal,Seny Dieng,goal keeper,1,no,0,0,0,0,0
Senegal,Formose Mendy,defender,2,no,0,0,0,0,0
Senegal,Pape Abou Cissé,defender,4,yes,3,1,0,0,0
Senegal,Idrissa Gueye,midfielder,5,yes,3,3,0,0,0
Senegal,Nampalys Mendy,midfielder,6,yes,4,3,0,0,0
Senegal,Nicolas Jackson,forward,7,yes,1,0,0,0,0
Senegal,Cheikhou Kouyaté,defender,8,yes,1,1,0,0,0
Senegal,Moussa N'Diaye,defender,10,no,0,0,0,0,0
Senegal,Pathé Ciss,midfielder,11,yes,3,2,0,0,0
Senegal,Fodé Ballo-Touré,defender,12,yes,1,0,0,0,0
Senegal,Iliman Ndiaye,forward,13,yes,3,2,0,0,0
Senegal,Ismail Jakobs,defender,14,yes,4,3,0,0,0
Senegal,Krépin Diatta,midfielder,15,yes,3,3,0,0,0
Senegal,Édouard Mendy,goal keeper,16,yes,4,4,0,0,0
Senegal,Pape Matar Sarr,midfielder,17,yes,2,0,0,0,0
Senegal,Youssouf Sabaly,defender,21,yes,4,4,0,0,0
Senegal,Abdou Diallo,defender,22,yes,4,4,0,0,0
Senegal,Alfred Gomis,goal keeper,23,no,0,0,0,0,0
Senegal,Moustapha Name,defender,24,no,0,0,0,0,0
Senegal,Mamadou Loum,midfielder,25,no,0,0,0,0,0
Senegal,Pape Gueye,midfielder,26,yes,3,1,0,0,0
Serbia,Aleksandar Mitrović,forward,9,yes,3,3,2,0,0
Serbia,Strahinja Pavlović,defender,2,yes,3,3,1,0,0
Serbia,Dušan Vlahović,forward,18,yes,2,1,1,0,0
Serbia,Sergej Milinković-Savić,midfielder,20,yes,3,3,1,0,0
Serbia,Marko Dmitrović,goal keeper,1,no,0,0,0,0,0
Serbia,Strahinja Eraković,defender,3,no,0,0,0,0,0
Serbia,Nikola Milenković,defender,4,yes,3,3,0,0,0
Serbia,Miloš Veljković,defender,5,yes,3,3,0,0,0
Serbia,Nemanja Maksimović,midfielder,6,yes,3,1,0,0,0
Serbia,Nemanja Radonjić,forward,7,yes,3,0,0,0,0
Serbia,Nemanja Gudelj,midfielder,8,yes,2,1,0,0,0
Serbia,Dušan Tadić,forward,10,yes,3,3,0,0,0
Serbia,Luka Jović,forward,11,yes,1,0,0,0,0
Serbia,Predrag Rajković,goal keeper,12,no,0,0,0,0,0
Serbia,Stefan Mitrović,defender,13,yes,1,0,0,0,0
Serbia,Andrija Živković,midfielder,14,yes,3,3,0,0,0
Serbia,Srđan Babić,defender,15,yes,1,0,0,0,0
Serbia,Saša Lukić,midfielder,16,yes,3,3,0,0,0
Serbia,Filip Kostić,midfielder,17,yes,2,2,0,0,0
Serbia,Uroš Račić,midfielder,19,no,0,0,0,0,0
Serbia,Filip Đuričić,forward,21,yes,2,0,0,0,0
Serbia,Darko Lazović,midfielder,22,yes,1,0,0,0,0
Serbia,Vanja Milinković-Savić,goal keeper,23,yes,3,3,0,0,0
Serbia,Ivan Ilić,midfielder,24,yes,1,0,0,0,0
Serbia,Filip Mladenović,defender,25,yes,1,1,0,0,0
Serbia,Marko Grujić,midfielder,26,yes,1,0,0,0,0
South Korea,Cho Gue-sung,forward,9,yes,4,3,2,0,0
South Korea,Paik Seung-ho,midfielder,8,yes,1,0,1,0,0
South Korea,Hee-chan Hwang,midfielder,11,yes,2,1,1,0,0
South Korea,Young-gwon Kim,defender,19,yes,4,4,1,0,0
South Korea,Seung-gyu Kim,goal keeper,1,yes,4,4,0,0,0
South Korea,Yoon Jong-gyu,defender,2,no,0,0,0,0,0
South Korea,Kim Jin-su,defender,3,yes,4,4,0,0,0
South Korea,Kim Min-jae,defender,4,yes,3,3,0,0,0
South Korea,Woo-young Jung,midfielder,5,yes,4,4,0,0,0
South Korea,Hwang In-beom,midfielder,6,yes,4,4,0,0,0
South Korea,Heung-min Son,midfielder,7,yes,4,4,0,0,0
South Korea,Jae-sung Lee,midfielder,10,yes,3,3,0,0,0
South Korea,Song Bum-keun,goal keeper,12,no,0,0,0,0,0
South Korea,Son Jun-ho,midfielder,13,yes,3,0,0,0,0
South Korea,Chul Hong,defender,14,yes,1,0,0,0,0
South Korea,Kim Moon-hwan,defender,15,yes,4,4,0,0,0
South Korea,Hwang Ui-jo,forward,16,yes,4,1,0,0,0
South Korea,Na Sang-ho,midfielder,17,yes,2,1,0,0,0
South Korea,Lee Kang-in,midfielder,18,yes,4,1,0,0,0
South Korea,Kwon Kyung-won,defender,20,yes,2,1,0,0,0
South Korea,Hyeon-woo Jo,goal keeper,21,no,0,0,0,0,0
South Korea,Kwon Chang-hoon,midfielder,22,yes,1,1,0,0,0
South Korea,Kim Tae-hwan,defender,23,no,0,0,0,0,0
South Korea,Cho Yu-min,defender,24,yes,1,0,0,0,0
South Korea,Jeong Woo-yeong,midfielder,25,yes,1,1,0,0,0
South Korea,Song Min-kyu,midfielder,26,no,0,0,0,0,0
Spain,Álvaro Morata,forward,7,yes,4,1,3,0,0
Spain,Ferran Torres,forward,11,yes,4,3,2,0,0
Spain,Gavi,midfielder,9,yes,4,4,1,0,0
Spain,Marco Asensio,forward,10,yes,4,3,1,0,0
Spain,Carlos Soler,midfielder,19,yes,2,0,1,0,0
Spain,Dani Olmo,forward,21,yes,4,4,1,0,0
Spain,Robert Sánchez,goal keeper,1,no,0,0,0,0,0
Spain,César Azpilicueta,defender,2,yes,2,2,0,0,0
Spain,Eric García,defender,3,no,0,0,0,0,0
Spain,Pau Torres,defender,4,yes,1,1,0,0,0
Spain,Sergio Busquets,midfielder,5,yes,4,4,0,0,0
Spain,Marcos Llorente,midfielder,6,yes,1,1,0,0,0
Spain,Koke,midfielder,8,yes,2,0,0,0,0
Spain,Nico Williams,forward,12,yes,4,1,0,0,0
Spain,David Raya,goal keeper,13,no,0,0,0,0,0
Spain,Alejandro Balde,defender,14,yes,4,1,0,0,0
Spain,Hugo Guillamón,defender,15,no,0,0,0,0,0
Spain,Rodri,midfielder,16,yes,4,4,0,0,0
Spain,Yeremy Pino,forward,17,no,0,0,0,0,0
Spain,Jordi Alba,defender,18,yes,4,3,0,0,0
Spain,Dani Carvajal,defender,20,yes,2,1,0,0,0
Spain,Pablo Sarabia,forward,22,yes,1,0,0,0,0
Spain,Unai Simón,goal keeper,23,yes,4,4,0,0,0
Spain,Aymeric Laporte,defender,24,yes,3,3,0,0,0
Spain,Ansu Fati,forward,25,yes,2,0,0,0,0
Spain,Pedri,midfielder,26,yes,4,4,0,0,0
Switzerland,Breel Embolo,forward,7,yes,4,4,2,0,0
Switzerland,Manuel Akanji,defender,5,yes,4,4,1,0,0
Switzerland,Remo Freuler,midfielder,8,yes,4,4,1,0,0
Switzerland,Xherdan Shaqiri,midfielder,23,yes,3,3,1,0,0
Switzerland,Yann Sommer,goal keeper,1,yes,3,3,0,0,0
Switzerland,Edimilson Fernandes,defender,2,yes,3,1,0,0,0
Switzerland,Silvan Widmer,defender,3,yes,3,3,0,0,0
Switzerland,Nico Elvedi,defender,4,yes,2,2,0,0,0
Switzerland,Denis Zakaria,midfielder,6,yes,2,0,0,0,0
Switzerland,Haris Seferovic,forward,9,yes,3,0,0,0,0
Switzerland,Granit Xhaka,midfielder,10,yes,4,4,0,0,0
Switzerland,Renato Steffen,defender,11,yes,1,0,0,0,0
Switzerland,Jonas Omlin,goal keeper,12,no,0,0,0,0,0
Switzerland,Ricardo Rodríguez,defender,13,yes,4,4,0,0,0
Switzerland,Michel Aebischer,midfielder,14,yes,1,0,0,0,0
Switzerland,Djibril Sow,midfielder,15,yes,4,4,0,0,0
Switzerland,Christian Fassnacht,midfielder,16,yes,1,0,0,0,0
Switzerland,Ruben Vargas,forward,17,yes,4,4,0,0,0
Switzerland,Eray Cömert,defender,18,yes,2,0,0,0,0
Switzerland,Noah Okafor,forward,19,yes,3,0,0,0,0
Switzerland,Fabian Frei,midfielder,20,yes,2,0,0,0,0
Switzerland,Gregor Kobel,goal keeper,21,yes,1,1,0,0,0
Switzerland,Fabian Schär,defender,22,yes,2,2,0,0,0
Switzerland,Philipp Köhn,goal keeper,24,no,0,0,0,0,0
Switzerland,Fabian Rieder,midfielder,25,yes,2,1,0,0,0
Switzerland,Ardon Jashari,midfielder,26,yes,1,0,0,0,0
Tunisia,Wahbi Khazri,forward,10,yes,2,1,1,0,0
Tunisia,Aymen Mathlouthi,goal keeper,1,no,0,0,0,0,0
Tunisia,Bilel Ifa,defender,2,no,0,0,0,0,0
Tunisia,Montassar Talbi,defender,3,yes,3,3,0,0,0
Tunisia,Yassine Meriah,defender,4,yes,3,3,0,0,0
Tunisia,Nader Ghandri,midfielder,5,yes,1,1,0,0,0
Tunisia,Dylan Bronn,defender,6,yes,2,2,0,0,0
Tunisia,Youssef Msakni,forward,7,yes,2,2,0,0,0
Tunisia,Hannibal Mejbri,midfielder,8,yes,1,0,0,0,0
Tunisia,Issam Jebali,forward,9,yes,3,2,0,0,0
Tunisia,Taha Yassine Khenissi,forward,11,yes,2,0,0,0,0
Tunisia,Ali Maâloul,defender,12,yes,1,1,0,0,0
Tunisia,Ferjani Sassi,midfielder,13,yes,2,0,0,0,0
Tunisia,Aïssa Laïdouni,midfielder,14,yes,3,3,0,0,0
Tunisia,Mohamed Ali Ben Romdhane,midfielder,15,yes,1,1,0,0,0
Tunisia,Aymen Dahmen,goal keeper,16,yes,3,3,0,0,0
Tunisia,Ellyes Skhiri,midfielder,17,yes,3,3,0,0,0
Tunisia,Ghailene Chaalali,midfielder,18,yes,1,0,0,0,0
Tunisia,Seifeddine Jaziri,forward,19,no,0,0,0,0,0
Tunisia,Mohamed Dräger,defender,20,yes,2,2,0,0,0
Tunisia,Wajdi Kechrida,defender,21,yes,3,1,0,0,0
Tunisia,Bechir Ben Saïd,goal keeper,22,no,0,0,0,0,0
Tunisia,Naïm Sliti,forward,23,yes,2,1,0,0,0
Tunisia,Ali Abdi,defender,24,yes,3,2,0,0,0
Tunisia,Anis Ben Slimane,forward,25,yes,2,2,0,0,0
Tunisia,Mouez Hassen,goal keeper,26,no,0,0,0,0,0
United States,Christian Pulisic,forward,10,yes,4,4,1,0,0
United States,Haji Wright,forward,19,yes,4,1,1,0,0
United States,Timothy Weah,forward,21,yes,4,4,1,0,0
United States,Matt Turner,goal keeper,1,yes,4,4,0,0,0
United States,Sergiño Dest,defender,2,yes,4,4,0,0,0
United States,Walker Zimmerman,defender,3,yes,4,3,0,0,0
United States,Tyler Adams,midfielder,4,yes,4,4,0,0,0
United States,Antonee Robinson,defender,5,yes,4,4,0,0,0
United States,Yunus Musah,midfielder,6,yes,4,4,0,0,0
United States,Giovanni Reyna,forward,7,yes,2,0,0,0,0
United States,Weston McKennie,midfielder,8,yes,4,4,0,0,0
United States,Jesús Ferreira,forward,9,yes,1,1,0,0,0
United States,Brenden Aaronson,forward,11,yes,4,0,0,0,0
United States,Ethan Horvath,goal keeper,12,no,0,0,0,0,0
United States,Tim Ream,defender,13,yes,4,4,0,0,0
United States,Luca de la Torre,midfielder,14,no,0,0,0,0,0
United States,Aaron Long,defender,15,no,0,0,0,0,0
United States,Jordan Morris,forward,16,yes,2,0,0,0,0
United States,Cristian Roldan,midfielder,17,no,0,0,0,0,0
United States,Shaq Moore,defender,18,yes,2,0,0,0,0
United States,Cameron Carter-Vickers,defender,20,yes,1,1,0,0,0
United States,DeAndre Yedlin,defender,22,yes,2,0,0,0,0
United States,Kellyn Acosta,midfielder,23,yes,2,0,0,0,0
United States,Josh Sargent,forward,24,yes,3,2,0,0,0
United States,Sean Johnson,goal keeper,25,no,0,0,0,0,0
United States,Joe Scally,defender,26,no,0,0,0,0,0
Uruguay,Giorgian De Arrascaeta,midfielder,10,yes,2,1,2,0,0
Uruguay,Fernando Muslera,goal keeper,1,no,0,0,0,0,0
Uruguay,José Giménez,defender,2,yes,3,3,0,0,0
Uruguay,Diego Godín,defender,3,yes,2,2,0,0,0
Uruguay,Ronald Araújo,defender,4,no,0,0,0,0,0
Uruguay,Matías Vecino,midfielder,5,yes,3,2,0,0,0
Uruguay,Rodrigo Bentancur,midfielder,6,yes,3,3,0,0,0
Uruguay,Nicolás de la Cruz,midfielder,7,yes,2,0,0,0,0
Uruguay,Facundo Pellistri,forward,8,yes,3,2,0,0,0
Uruguay,Luis Suárez,forward,9,yes,3,2,0,0,0
Uruguay,Darwin Núñez,forward,11,yes,3,3,0,0,0
Uruguay,Sebastián Sosa,goal keeper,12,no,0,0,0,0,0
Uruguay,Guillermo Varela,defender,13,yes,3,2,0,0,0
Uruguay,Lucas Torreira,midfielder,14,no,0,0,0,0,0
Uruguay,Federico Valverde,midfielder,15,yes,3,3,0,0,0
Uruguay,Mathías Olivera,defender,16,yes,3,3,0,0,0
Uruguay,Matías Viña,defender,17,yes,2,0,0,0,0
Uruguay,Maxi Gómez,forward,18,yes,2,0,0,0,0
Uruguay,Sebastián Coates,defender,19,yes,2,2,0,0,0
Uruguay,Facundo Torres,forward,20,no,0,0,0,0,0
Uruguay,Edinson Cavani,forward,21,yes,3,1,0,0,0
Uruguay,Martín Cáceres,defender,22,yes,1,1,0,0,0
Uruguay,Sergio Rochet,goal keeper,23,yes,3,3,0,0,0
Uruguay,Agustín Canobbio,midfielder,24,yes,1,0,0,0,0
Uruguay,Manuel Ugarte,midfielder,25,no,0,0,0,0,0
Uruguay,José Luis Rodríguez,defender,26,no,0,0,0,0,0
Wales,Gareth Bale,forward,11,yes,3,3,1,0,0
Wales,Wayne Hennessey,goal keeper,1,yes,2,2,0,0,0
Wales,Chris Gunter,defender,2,no,0,0,0,0,0
Wales,Neco Williams,defender,3,yes,3,3,0,0,0
Wales,Ben Davies,defender,4,yes,3,3,0,0,0
Wales,Chris Mepham,defender,5,yes,3,3,0,0,0
Wales,Joe Rodon,defender,6,yes,3,3,0,0,0
Wales,Joe Allen,midfielder,7,yes,2,1,0,0,0
Wales,Harry Wilson,midfielder,8,yes,3,2,0,0,0
Wales,Brennan Johnson,forward,9,yes,3,0,0,0,0
Wales,Aaron Ramsey,midfielder,10,yes,3,3,0,0,0
Wales,Danny Ward,goal keeper,12,yes,2,1,0,0,0
Wales,Kieffer Moore,forward,13,yes,3,2,0,0,0
Wales,Connor Roberts,defender,14,yes,3,2,0,0,0
Wales,Ethan Ampadu,defender,15,yes,3,3,0,0,0
Wales,Joe Morrell,midfielder,16,yes,2,0,0,0,0
Wales,Tom Lockyer,defender,17,no,0,0,0,0,0
Wales,Jonny Williams,midfielder,18,no,0,0,0,0,0
Wales,Mark Harris,forward,19,no,0,0,0,0,0
Wales,Daniel James,forward,20,yes,3,2,0,0,0
Wales,Adam Davies,goal keeper,21,no,0,0,0,0,0
Wales,Sorba Thomas,midfielder,22,yes,1,0,0,0,0
Wales,Dylan Levitt,midfielder,23,no,0,0,0,0,0
Wales,Ben Cabango,defender,24,no,0,0,0,0,0
Wales,Rubin Colwill,midfielder,25,yes,1,0,0,0,0
Wales,Matthew Smith,midfielder,26,no,0,0,0,0,0
