Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities,Area_Aana,PricePerAana
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,11000000,3,4,3.0,1,South East,2019.0,317,3-1-1 Aana,11 Feet / Gravelled,11 Feet , Gravelled,N/A Aana,3 days ago,"['Parking', 'Balcony']",3.0,3666666.6666666665
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,50000000,5,4,2.0,9,East,2073.0,618,0-8-5-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,0-6-5-0 Aana,3 days ago,"['Parking', 'Lawn', 'Garage', 'Frontyard', 'Fencing', 'Balcony', 'Backyard', 'Garden', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable', 'Solar Water', 'Water Tank', 'Water Well']",2.3125,21621621.62162162
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,32500000,6,4,2.5,1,South East,2065.0,2.6K,0-4-0-0 Aana,12 Feet / Concrete,12 Feet , Concrete,2394 Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",1.0,32500000.0
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,32000000,4,5,3.0,3,South West,2075.0,922,14 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,7 Aana,3 weeks ago,"['Parking', 'Backyard']",14.0,2285714.285714286
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,39900000,5,4,3.0,1,North West,2075.0,592,0-4-2-0 Aana,14 Feet / Paved,14 Feet , Paved,2500 Aana,1 month ago,"['Parking', 'Balcony', 'Internet']",1.125,35466666.666666664
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,15000000,2,2,1.0,1,South,2074.0,766,5 Aana,12 Feet / Gravelled,12 Feet , Gravelled,N/A Aana,1 month ago,['Parking'],5.0,3000000.0
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,52500000,5,5,3.0,3,South East,2075.0,872,8 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Modular Kitchen', 'Microwave', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Well']",8.0,6562500.0
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,26500000,6,6,3.0,1,East,2076.0,1.1K,4 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking'],4.0,6625000.0
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,25500000,6,6,3.0,1,East,2076.0,1.6K,4 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Sq. Feet,1 month ago,['Parking'],4.0,6375000.0
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,33000000,6,4,2.5,1,East,2056.0,2.8K,0-6-0-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Aana,2 months ago,"['Lawn', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",1.5,22000000.0
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,18500000,4,4,,3,South,,404,6 Aana,13 Feet,13 Feet,,N/A Aana,1 month ago,['Parking'],6.0,3083333.3333333335
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,62000000,7,4,,3,East,,164,10 Aana,0 Feet,0 Feet,,N/A Aana,1 month ago,[],10.0,6200000.0
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,10500000,0,0,,0,North,,460,0-4-0-0 Aana,10 Feet,10 Feet,,N/A Aana,1 month ago,[],1.0,10500000.0
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,20500000,7,3,3.0,1,East,2076.0,3.2K,0-3-2-0 Aana,10 Feet / Gravelled,10 Feet , Gravelled,2100 Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'CCTV', 'Internet', 'Parking', 'Store Room']",0.875,23428571.42857143
"House For Sale In Radhe Radhe, Bhaktapur","Radhe Radhe, Radhe Radhe, Bhaktapur",Bhaktapur,22000000,0,0,,0,East,,720,0-3-2-0 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,N/A Sq. Feet,1 month ago,[],0.875,25142857.14285714
"Budhanilkantha Taulung Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,55000000,5,6,3.0,4,South,2071.0,253,19 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garden']",19.0,2894736.8421052634
"Semi-Furnished House : House For Sale In Sitapaila, Kathmandu","Ramkot, Sitapaila, Kathmandu",Kathmandu,24000000,4,4,2.5,1,East,2075.0,510,0-4-0-0 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,2100 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking']",1.0,24000000.0
"Dhapasi Deurali Janata Najik Ghar : House For Sale In Dhapasi, Kathmandu","Na, Dhapasi, Kathmandu",Kathmandu,37000000,6,6,3.0,3,South East,,178,6.1 Aana,32 Feet,32 Feet,,N/A Aana,1 month ago,"['Parking', 'Garage']",6.0,6166666.666666667
"Newly Constructed : House For Sale In Imadol, Lalitpur","Sital height, Imadol, Lalitpur",Lalitpur,22000000,7,4,3.5,2,South,2076.0,981,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,2700 Aana,4 months ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",1.125,19555555.555555556
"House For Sale In Pepsicola, Kathmandu","Na, Pepsicola, Kathmandu",Kathmandu,58500000,6,6,3.0,2,East,2076.0,318,6.5 Aana,16 Feet / Blacktopped,16 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage']",6.0,9750000.0
"House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,18500000,4,3,2.5,1,East,2076.0,596,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Balcony', 'Fencing', 'Drainage', 'Water Supply', 'Water Tank', 'Store Room']",0.75,24666666.666666668
"Newly Built House : House For Sale In Imadol, Lalitpur","Bojepokhari, Imadol, Lalitpur",Lalitpur,21000000,4,3,2.5,1,East,2076.0,466,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,112 Sq. Meter,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",0.875,24000000.0
"Imadol, Swastik Tole House On Sell : House For Sale In Imadol, Lalitpur","Swastik Tole, Imadol, Lalitpur",Lalitpur,17500000,5,3,3.0,1,South,,157,3-0-2 Aana,13 Feet,13 Feet,,3-0-2 Aana,1 month ago,"['Parking', 'Balcony', 'Water Tank', 'Water Well', 'Drainage', 'Internet', 'Wifi', 'TV Cable']",3.0,5833333.333333333
"Dhumbarahi Home For Sale : House For Sale In Mandikatar, Kathmandu","Na, Mandikatar, Kathmandu",Kathmandu,40000000,7,7,4.0,2,East,2074.0,151,7 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],7.0,5714285.714285715
"Hattigaudama 5 Anako Ghar Bikrima : House For Sale In Hattigauda, Kathmandu","NA, Hattigauda, Kathmandu",Kathmandu,26500000,6,6,3.0,2,West,2075.0,282,5 Aana,14 Feet / Blacktopped,14 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],5.0,5300000.0
"Grandy Gate Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,22500000,6,6,3.0,1,North East,2070.0,66,3.1 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],3.0,7500000.0
"11 Ana Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,60000000,6,6,3.0,4,South East,2070.0,157,11 Aana,15 Feet / Soil Stabilized,15 Feet , Soil Stabilized,N/A Aana,1 month ago,['Parking'],11.0,5454545.454545454
"Grandy House For Sale : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,40000000,9,6,4.0,3,East,2069.0,71,9 Aana,13 Feet / Paved,13 Feet , Paved,N/A Aana,1 month ago,['Parking'],9.0,4444444.444444444
"Sukedhara Brand New Home For Sale : House For Sale In Sukedhara, Kathmandu","Na, Sukedhara, Kathmandu",Kathmandu,30000000,6,5,3.0,1,East,2076.0,136,3.5 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Balcony', 'Modular Kitchen', 'Water Supply', 'Drainage', 'Water Well', 'Solar Water', 'Water Tank']",3.0,10000000.0
"Hattigauda 5 Ana Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,33000000,5,6,3.0,2,North,2070.0,150,5 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garden']",5.0,6600000.0
"Golfutar Height Home : House For Sale In Budhanilkantha, Kathmandu","Man, Budhanilkantha, Kathmandu",Kathmandu,30500000,5,5,2.0,1,West,2070.0,112,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],4.0,7625000.0
"Jyotinagar Home For Sale : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,28000000,6,6,3.0,1,South East,2076.0,100,4 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],4.0,7000000.0
"Dhapasi Height Commercil Building : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,41000000,10,5,4.0,3,South East,2075.0,67,4 Aana,26 Feet / Blacktopped,26 Feet , Blacktopped,N/A Aana,1 month ago,['Parking'],4.0,10250000.0
"Sundar Basti Brand New Home 2 Homes : House For Sale In Budhanilkantha, Kathmandu","NA, Budhanilkantha, Kathmandu",Kathmandu,27000000,6,6,3.0,2,East,2076.0,161,4.5 Aana,14 Feet / Gravelled,14 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Garage']",4.0,6750000.0
"Tokha Near Venas Housing Home : House For Sale In Tokha, Kathmandu","Na, Tokha, Kathmandu",Kathmandu,22000000,5,5,3.0,1,East,2076.0,139,3.1 Aana,13 Feet / Soil Stabilized,13 Feet , Soil Stabilized,N/A Aana,1 month ago,['Parking'],3.0,7333333.333333333
"8 Ana Home Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,37000000,5,5,3.0,3,South East,2071.0,168,8 Aana,15 Feet / Blacktopped,15 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Garage', 'Frontyard', 'Water Supply', 'Drainage', 'Solar Water', 'Water Tank']",8.0,4625000.0
"House For Sale In Baluwatar, Kathmandu","Chandol, Height, Baluwatar, Kathmandu",Kathmandu,46000000,4,3,2.5,1,South West,2074.0,5.6K,0-6-3-0 Aana,13 Feet / Concrete,13 Feet , Concrete,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking', 'Store Room']",1.6875,27259259.259259257
"Sale Of Attractive House And Land : House For Sale In Naikap, Kathmandu","Piple Chautari Tole (Naya Basti), Naikap, Kathmandu",Kathmandu,22500000,5,3,3.0,1,East,,274,4 Aana,13 Feet,13 Feet,,4 Aana,1 month ago,"['Parking', 'Balcony', 'Water Well', 'Store Room', 'Frontyard', 'Garden', 'Water Supply', 'Solar Water', 'TV Cable']",4.0,5625000.0
"Brand New Never Used House For Sale At Rose Village Balkot : House For Sale In Balkot, Bhaktapur","Rose Village Balkot, Balkot, Bhaktapur",Bhaktapur,29000000,3,3,2.0,2,North,2070.0,1.4K,4.5 Aana,20 Feet / Blacktopped,20 Feet , Blacktopped,2200 Sq. Feet,1 month ago,"['Parking', 'Garage', 'Air Condition', 'Balcony', 'Deck', 'Fencing', 'Frontyard', 'Microwave', 'Modular Kitchen', 'Swimming Pool', 'TV Cable', 'Washing Machine', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet']",4.0,7250000.0
"House On Sale : House For Sale In Naya Bazar, Kathmandu","Nayabazar-16, Naya Bazar, Kathmandu",Kathmandu,31000000,3,4,3.0,1,East,2018.0,209,0-3-0-0 Aana,6 Meter / Blacktopped,6 Meter , Blacktopped,2000 Sq. Feet,1 month ago,"['Fencing', 'Modular Kitchen', 'Frontyard', 'Backyard']",0.75,41333333.333333336
"Commercial House Sale In Satungal : House For Sale In Satungal, Kathmandu","Commercial land sale in Satungal, Satungal, Kathmandu",Kathmandu,42500000,0,0,,0,West,,136,0-5-1-1 Aana,29 Feet,29 Feet,,N/A Aana,1 month ago,[],1.328125,32000000.0
"Flat House On Sale, 500 Meter Far From Main Road. : House For Sale In Budhanilkantha, Kathmandu","pasikot/Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,37500000,5,5,3.0,2,South East,,162,5 Aana,0 Feet,0 Feet,,3 Aana,1 month ago,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Solar Water', 'Internet', 'Store Room', 'Wifi']",5.0,7500000.0
"House For Sale In Tarkeshwor, Kathmandu","Nagpokhari road, Tarkeshwor, Kathmandu",Kathmandu,13000000,2,1,1.0,1,West,2076.0,588,3.1.0 Aana,0 Feet,0 Feet,,N/A Aana,1 month ago,['Parking'],3.0,4333333.333333333
"House For Sale -Nakkhudol Bhaisepati : House For Sale In Nakhundol, Lalitpur","Nakkhudol Bhaisepati, Nakhundol, Lalitpur",Lalitpur,25000000,3,4,2.0,2,East,2076.0,688,0-4-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'Fencing', 'Water Tank', 'Water Supply', 'Drainage']",1.125,22222222.222222224
"Bungalow : House For Sale In Bhaktapur, Bhaktapur","Gamcha, Bhaktapur, Bhaktapur",Bhaktapur,32500000,4,4,2.0,4,South,2017.0,374,7 Aana,20 Feet / Paved,20 Feet , Paved,2200 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Store Room']",7.0,4642857.142857143
"Attractive House For Sale In Ratnanagar, Chitwan : House For Sale In Ratnanagar, Chitwan","Jerauna, Ratnanagar, Chitwan",Chitwan,7700000,4,2,2.0,1,East,2017.0,677,6 Aana,16 Feet / Gravelled,16 Feet , Gravelled,4 Aana,1 month ago,"['Backyard', 'Balcony', 'Fencing', 'Frontyard', 'Water Tank', 'Parking']",6.0,1283333.3333333333
"Residential House : House For Sale In Makalbari, Kathmandu","Sundar Tole, Makalbari, Kathmandu",Kathmandu,20000000,7,3,2.5,2,West,2067.0,5.1K,0-4-1-1 Aana,10 Feet / Gravelled,10 Feet , Gravelled,N/A Aana,1 month ago,"['Balcony', 'Fencing', 'Frontyard', 'Garden', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",1.078125,18550724.63768116
"3.5 Storey : House For Sale In Sipadol, Bhaktapur","Darjeling Height, Sipadol, Bhaktapur",Bhaktapur,19000000,7,4,3.5,1,West,2076.0,6.2K,0-3-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,3500 Aana,5 months ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Electricity Backup', 'Internet', 'Parking']",0.75,25333333.333333332
"Fully Furnished New House On Sale At Hepali, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,33500000,0,4,3.0,2,South East,,188,0-4-0-0 Aana,18 Feet / Blacktopped,18 Feet , Blacktopped,N/A Aana,1 month ago,"['Parking', 'Balcony', 'Microwave', 'Drainage', 'Electricity Backup', 'Water Supply', 'Modular Kitchen', 'Fencing', 'Intercom', 'Internet', 'Frontyard', 'TV Cable', 'Garage', 'Garden', 'Washing Machine', 'Water Tank', 'Kids Playground', 'CCTV', 'Wifi']",1.0,33500000.0
"House Sale In Mhepi : House For Sale In Mhepi, Kathmandu","Mhepi, Mhepi, Kathmandu",Kathmandu,37000000,0,0,,0,North East,,86,0-5-0-2 Aana,13 Feet / Blacktopped,13 Feet , Blacktopped,N/A Aana,1 month ago,[],1.28125,28878048.780487806
"House Sale In Chaysingdol : House For Sale In Pasikot, Kathmandu","Chyasingdol, Pasikot, Kathmandu",Kathmandu,36000000,0,0,,0,East,,134,0-7-2-0 Aana,20 Feet,20 Feet,,N/A Aana,1 month ago,[],1.875,19200000.0
"One And Half Storied : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.0,1,West,2076.0,3.2K,0-3-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Sq. Feet,1 month ago,"['Lawn', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']",0.75,16666666.666666666
"Modern Designed : House For Sale In Imadol, Lalitpur","Nearby Cozy Homes, Imadol, Lalitpur",Lalitpur,19500000,5,3,2.5,1,East,2076.0,710,0-3-1-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,1900 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",0.8125,24000000.0
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,22000000,5,3,2.5,1,West,2076.0,157,0-3-2-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,2100 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Electricity Backup', 'Parking', 'Store Room']",0.875,25142857.14285714
"House For Sale In Imadol, Lalitpur","Sanagaun Height, Imadol, Lalitpur",Lalitpur,21500000,4,3,2.5,1,East,2076.0,161,0-4-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,2500 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Parking', 'Store Room']",1.0,21500000.0
"Newly Built : House For Sale In Imadol, Lalitpur","Sanagaun height, Imadol, Lalitpur",Lalitpur,19500000,4,3,2.5,1,North East,2076.0,166,0-3-2-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,750 Aana,1 month ago,"['Balcony', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking', 'Store Room']",0.875,22285714.285714287
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,1,South,2076.0,602,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,650 Sq. Feet,1 month ago,"['Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Parking', 'Store Room']",0.75,25333333.333333332
"House For Sale In Imadol, Lalitpur","Nearby, Buddha party palace, Imadol, Lalitpur",Lalitpur,18000000,4,3,2.5,1,South,2076.0,792,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,650 Sq. Feet,1 month ago,[],0.75,24000000.0
"Brand New House For Sale In Swoyambhu/Swayambhu : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,37000000,8,5,3.0,2,South,2077.0,136,0-5-1-3 Aana,12 Feet / Gravelled,12 Feet , Gravelled,990 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Drainage', 'Garden']",1.359375,27218390.804597702
"Brand New House For Sale In Swoyambhu/Swayambhu Near Bhagwan Pau : House For Sale In Swayambhu, Kathmandu","Swoyambhu, Swayambhu, Kathmandu",Kathmandu,34000000,6,3,3.0,1,South,2077.0,94,0-4-0-0 Aana,12 Feet / Gravelled,12 Feet , Gravelled,950 Sq. Feet,1 month ago,"['Parking', 'Balcony', 'Water Well', 'Water Tank', 'Drainage']",1.0,34000000.0
"Vbn : House For Sale In Butwal, Butwal","Nayagaun, Butwal, Butwal",Butwal,800000,2,1,1.0,1,South,2020.0,197,6.25 Dhur,32 Feet,32 Feet,,6.25 Dhur,1 month ago,['Parking'],2.1187500000000004,377581.12094395276
"Somaney : House For Sale In Imadol, Lalitpur","Imadol, near tempo park, Imadol, Lalitpur",Lalitpur,21000000,0,3,3.0,1,East,,340,0.4.0.0 Aana,12 Feet,12 Feet,,0-4.0.0 Aana,1 month ago,"['Parking', 'Balcony', 'Drainage', 'Garage', 'Frontyard', 'TV Cable', 'Wifi', 'Modular Kitchen', 'Water Well', 'Water Tank', 'Internet']",1.0,21000000.0
"House On Sell @Tarkeshwar-09, Manamaiju, Basukinagtole : House For Sale In Manamaiju, Kathmandu","Basukinagtole, Manamaiju, Kathmandu, Manamaiju, Kathmandu",Kathmandu,26000000,8,4,3.0,1,South,2075.0,220,0-4-0-2 Aana,16 Feet / Gravelled,16 Feet , Gravelled,0-3-2-0 Aana,1 month ago,"['Parking', 'Balcony', 'Deck', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet']",1.03125,25212121.21212121
"House Sale In Syuchatar : House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,22000000,5,3,,1,South West,,380,0-6-2-0 Aana,10 Feet,10 Feet,,N/A Aana,1 month ago,"['Parking', 'Balcony', 'Drainage', 'Water Supply']",1.625,13538461.538461538
"House Sale In Phutung Tushal : House For Sale In Kavresthali, Kathmandu","Phutung Tushal, Kavresthali, Kathmandu",Kathmandu,23000000,7,3,,1,North East,,135,0-4-0-0 Aana,10 Feet,10 Feet,,N/A Aana,2 months ago,['Parking'],1.0,23000000.0
"House For Sale In Goldhunga, Kathmandu","Jarankhu, Goldhunga, Kathmandu",Kathmandu,15500000,5,2,,1,North West,,960,0-3-2-2 Aana,13 Feet,13 Feet,,N/A Aana,2 months ago,['Parking'],0.90625,17103448.275862068
"House For Sale In Maharajgunj, Kathmandu","Maharajgunj Ganeshbasti, Maharajgunj, Kathmandu",Kathmandu,57500000,0,0,,0,North East,,167,0-6-1-0 Aana,12 Feet / Blacktopped,12 Feet , Blacktopped,N/A Aana,2 months ago,[],1.5625,36800000.0
"House For Sale In Kalanki, Kathmandu","Nearby L.R.I School., Kalanki, Kathmandu",Kathmandu,17000000,4,3,2.5,1,North West,2076.0,2.1K,0-4-0-0 Aana,10 Feet / Blacktopped,10 Feet , Blacktopped,1650 Sq. Feet,2 months ago,"['Balcony', 'Fencing', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Internet', 'Parking', 'Store Room']",1.0,17000000.0
"1.5 Storied House : House For Sale In Imadol, Lalitpur","Opposite of Green hill city, Imadol, Lalitpur",Lalitpur,12500000,2,1,1.5,1,South,2076.0,917,0-3-1-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Aana,2 months ago,"['TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']",0.8125,15384615.384615384
"House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,45000000,4,4,3.0,4,South West,2074.0,8.2K,11 Aana,22 Feet,22 Feet,,N/A Sq. Feet,1 year ago,"['Garage', 'Balcony', 'Garden', 'Water Supply', 'TV Cable', 'Lawn', 'Frontyard', 'Modular Kitchen', 'Backyard', 'Deck', 'Drainage', 'Wifi', 'Fencing']",11.0,4090909.090909091
"1.5 Storey House : House For Sale In Tikathali, Lalitpur","Nearby Pawan Pakriti School., Tikathali, Lalitpur",Lalitpur,12500000,2,1,1.5,1,South,2076.0,4.1K,0-3-0-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,N/A Sq. Feet,2 months ago,"['Drainage', 'Water Supply', 'Parking']",0.75,16666666.666666666
"Residential : House For Sale In Imadol, Lalitpur","Ochu Height, Imadol, Lalitpur",Lalitpur,19000000,4,3,2.5,2,North West,2076.0,1.9K,0-3-2-0 Aana,13 Feet / Gravelled,13 Feet , Gravelled,1195 Sq. Feet,2 months ago,"['Balcony', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Internet', 'Parking', 'Store Room']",0.875,21714285.714285713
"House For Sale In Pasikot, Kathmandu","chyasingdol, Pasikot, Kathmandu",Kathmandu,32000000,0,0,,0,South West,,138,0-10-0-0 Aana,20 Feet,20 Feet,,N/A Aana,2 months ago,[],2.5,12800000.0
"One And Half Storied : House For Sale In Kadaghari, Kathmandu","Birendrachwok, Planning, Kadaghari, Kathmandu",Kathmandu,15500000,2,1,1.5,2,South West,2076.0,5.3K,0-4-0-0 Aana,20 Feet / Gravelled,20 Feet , Gravelled,N/A Aana,2 months ago,[],1.0,15500000.0
"Attractive Residential Land On Sale : Land For Sale In Budhanilkantha, Kathmandu","Bhuddha colony, Budhanilkantha, Kathmandu",Kathmandu,3000000,0,0,,0,West,,48,12 Aana,16 Feet / Paved,16 Feet , Paved,N/A Aana,1 day ago,[],12.0,250000.0
"18 Aana Land For Sale At Shamkhamul : Land For Sale In Sankhamul, Kathmandu","Sankhamul, Sankhamul, Kathmandu",Kathmandu,6500000,0,0,,0,East,,46,0-18-0-0 Aana,40 Feet / Blacktopped,40 Feet , Blacktopped,N/A Aana,1 day ago,[],4.5,1444444.4444444445
