Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Road Width,Road Type,Build Area,Posted,Amenities,Area_Aana,PricePerAana
"House For Sale In Naxal, Kathmandu","Gahana, Pokhari, Naxal, Kathmandu",Kathmandu,55000000,0,0,4.0,0,North,,327,7 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",7.0,7857142.857142857
"House For Sale In Kadaghari, Kathmandu","Birendra Chowk, Kadaghari, Kathmandu",Kathmandu,36000000,6,4,3.5,3,South East,,247,3.2 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",3.0,12000000.0
"House For Sale In Pepsicola, Kathmandu","Suncity Planning, Pepsicola, Kathmandu",Kathmandu,24000000,10,6,3.0,4,East,,808,3.2 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",3.0,8000000.0
"House For Sale In Kadaghari, Kathmandu","Gotthatar, Kadaghari, Kathmandu",Kathmandu,12000000,4,1,1.0,2,East,,452,3 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",3.0,4000000.0
"Land For Sale In Balaju, Kathmandu","Balaju, Balaju, Kathmandu",Kathmandu,8500000,0,0,,0,West,,231,0-6-3-3 Aana,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],1.734375,4900900.900900901
"House For Sale In Balaju, Kathmandu","Near by Bhatbhatei Super Market., Balaju, Kathmandu",Kathmandu,45000000,12,4,4.0,5,North,,257,0-4-0-2 Aana,0 Feet,0 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",1.03125,43636363.63636363
"House For Sale In Joranku, Kathmandu","Joranku, Joranku, Kathmandu",Kathmandu,15000000,3,3,3.0,2,South,,260,3.2 Aana,10 Feet,10 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank']",3.0,5000000.0
"Land For Sale In Tarkeshwor, Kathmandu","Phutung, Tarkeshwor, Kathmandu",Kathmandu,1000000,0,0,,0,South West,,275,7 Aana,26 Feet,26 Feet,,N/A Sq. Feet,1 year ago,[],7.0,142857.14285714287
"Office Space For Sale In Samakhusi, Kathmandu","Samakhusi Town Planning, Samakhusi, Kathmandu",Kathmandu,500000,0,0,,0,East,,226,165 Sq. Feet,20 Feet,20 Feet,,N/A Sq. Feet,1 year ago,[],0.4821037253469686,1037121.212121212
"House For Sale In Sitapaila, Kathmandu","Ichadol, Sitapaila, Kathmandu",Kathmandu,20000000,4,2,3.0,0,East,,331,5 Aana,13 Feet,13 Feet,,N/A Sq. Feet,1 year ago,"['Balcony', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank']",5.0,4000000.0
